ID,BaseDate,LookBackDate,RegimeType,RegimeCode,RegimeName,VAL,RegimeCalc,STATES,PROB_POSITIVE,PROB_NEUTRAL,PROB_NEGATIVE,RECENT,InsDate
RG00101_20251222_20001027,2025-12-22,2000-10-27,RISK,RG00101,DRAI_Multi,-0.594248035,HMM,-1,5.02E-229,6.80E-68,1,TRUE,39:41.7
RG00101_20251222_20001030,2025-12-22,2000-10-30,RISK,RG00101,DRAI_Multi,-0.437809373,HMM,-1,7.61E-58,0.00171148,0.99828852,TRUE,39:41.7
RG00101_20251222_20001031,2025-12-22,2000-10-31,RISK,RG00101,DRAI_Multi,-0.346870459,HMM,-1,1.99E-10,0.003348662,0.996651338,TRUE,39:41.7
RG00101_20251222_20001101,2025-12-22,2000-11-01,RISK,RG00101,DRAI_Multi,-0.423481979,HMM,-1,9.22E-11,0.002731346,0.997268654,TRUE,39:41.7
RG00101_20251222_20001102,2025-12-22,2000-11-02,RISK,RG00101,DRAI_Multi,-0.519569978,HMM,-1,2.70E-11,0.001710146,0.998289854,TRUE,39:41.7
RG00101_20251222_20001103,2025-12-22,2000-11-03,RISK,RG00101,DRAI_Multi,-0.384939409,HMM,-1,7.61E-11,0.002159577,0.997840423,TRUE,39:41.7
RG00101_20251222_20001106,2025-12-22,2000-11-06,RISK,RG00101,DRAI_Multi,-0.48153386,HMM,-1,1.88E-11,0.001310095,0.998689905,TRUE,39:41.7
RG00101_20251222_20001107,2025-12-22,2000-11-07,RISK,RG00101,DRAI_Multi,-0.573421983,HMM,-1,6.93E-12,0.000894267,0.999105733,TRUE,39:41.7
RG00101_20251222_20001108,2025-12-22,2000-11-08,RISK,RG00101,DRAI_Multi,-0.32656927,HMM,-1,9.29E-11,0.002409426,0.997590574,TRUE,39:41.7
RG00101_20251222_20001109,2025-12-22,2000-11-09,RISK,RG00101,DRAI_Multi,-0.445853976,HMM,-1,1.35E-11,0.001440568,0.998559432,TRUE,39:41.7
RG00101_20251222_20001110,2025-12-22,2000-11-10,RISK,RG00101,DRAI_Multi,-0.57803182,HMM,-1,8.55E-13,0.000351106,0.999648894,TRUE,39:41.7
RG00101_20251222_20001113,2025-12-22,2000-11-13,RISK,RG00101,DRAI_Multi,-0.742736908,HMM,-1,1.63E-13,0.00023254,0.99976746,TRUE,39:41.7
RG00101_20251222_20001114,2025-12-22,2000-11-14,RISK,RG00101,DRAI_Multi,-0.486827316,HMM,-1,1.04E-11,0.007361054,0.992638946,TRUE,39:41.7
RG00101_20251222_20001115,2025-12-22,2000-11-15,RISK,RG00101,DRAI_Multi,-0.36223526,HMM,-1,1.48E-09,0.024035894,0.975964104,TRUE,39:41.7
RG00101_20251222_20001116,2025-12-22,2000-11-16,RISK,RG00101,DRAI_Multi,-0.179983514,HMM,-1,3.25E-08,0.035521918,0.964478049,TRUE,39:41.7
RG00101_20251222_20001117,2025-12-22,2000-11-17,RISK,RG00101,DRAI_Multi,-0.336429474,HMM,-1,4.54E-09,0.029833657,0.970166338,TRUE,39:41.7
RG00101_20251222_20001120,2025-12-22,2000-11-20,RISK,RG00101,DRAI_Multi,-0.502258565,HMM,-1,4.99E-10,0.017308782,0.982691218,TRUE,39:41.7
RG00101_20251222_20001121,2025-12-22,2000-11-21,RISK,RG00101,DRAI_Multi,-0.356857358,HMM,-1,1.38E-09,0.013974537,0.986025462,TRUE,39:41.8
RG00101_20251222_20001122,2025-12-22,2000-11-22,RISK,RG00101,DRAI_Multi,-0.458596432,HMM,-1,1.92E-10,0.007215294,0.992784706,TRUE,39:41.8
RG00101_20251222_20001123,2025-12-22,2000-11-23,RISK,RG00101,DRAI_Multi,-0.4372515,HMM,-1,1.45E-11,0.003376417,0.996623583,TRUE,39:41.8
RG00101_20251222_20001124,2025-12-22,2000-11-24,RISK,RG00101,DRAI_Multi,-0.731154097,HMM,-1,2.93E-13,0.00021781,0.99978219,TRUE,39:41.8
RG00101_20251222_20001127,2025-12-22,2000-11-27,RISK,RG00101,DRAI_Multi,-0.457885396,HMM,-1,5.57E-12,0.000956847,0.999043153,TRUE,39:41.8
RG00101_20251222_20001128,2025-12-22,2000-11-28,RISK,RG00101,DRAI_Multi,-0.364889338,HMM,-1,2.76E-11,0.001536393,0.998463607,TRUE,39:41.8
RG00101_20251222_20001129,2025-12-22,2000-11-29,RISK,RG00101,DRAI_Multi,-0.521556468,HMM,-1,6.33E-15,0.000507963,0.999492037,TRUE,39:41.8
RG00101_20251222_20001130,2025-12-22,2000-11-30,RISK,RG00101,DRAI_Multi,-0.984848871,HMM,-1,6.61E-19,6.09E-07,0.999999391,TRUE,39:41.8
RG00101_20251222_20001201,2025-12-22,2000-12-01,RISK,RG00101,DRAI_Multi,-0.750575454,HMM,-1,9.70E-19,1.11E-05,0.999988869,TRUE,39:41.8
RG00101_20251222_20001204,2025-12-22,2000-12-04,RISK,RG00101,DRAI_Multi,-0.733032987,HMM,-1,5.10E-16,2.44E-05,0.999975586,TRUE,39:41.8
